State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8964359776892205	0.09210054816126718	3.868955696898102E-5	0.0	9.428912812078184E-4	0.0027551408236768885	1.668279681199586E-4	0.004612938829520663	2.5987314196334075E-4	0.0026871125480549393
2	0.008063218802749784	0.9722130032558571	0.009934928186011292	0.0	0.002266947582141714	0.001078677796257349	0.0	0.0	0.0	0.006443224376982656
3	2.669100797596613E-7	0.0014299441679067547	0.987250461625176	7.514910297774917E-4	0.00598035050459654	0.0012528720227820622	5.5844925502818286E-5	1.839096585611595E-4	2.8802920171954085E-5	0.003066056235445602
4	0.0	0.0	0.006795704141184975	0.9750236167187443	0.01340530779066722	0.0020424326644044428	4.196653994976702E-4	2.191341096352566E-4	3.793491119419495E-5	0.002056204264672124
5	3.0405766527083673E-4	0.009122209706725518	0.16824825505465615	0.04373139643595393	0.5991358398700897	0.15219876357949033	0.02264660923978446	3.3856055953653376E-4	1.1663492062721697E-4	0.004157672967865562
6	0.0019441428508623277	0.007932770094475511	0.06033303596754549	0.011574793147010758	0.2639038670846358	0.526196997029483	0.10447916781522158	0.01703669705940774	0.0012068646477570014	0.005391664303600693
7	1.6847284729613E-4	0.0	0.0061243026156271	0.006389482808756908	0.08777295886331829	0.23092070622464894	0.5567241030191002	0.10225223346782296	0.00647134661398692	0.0031763935394424586
8	0.007087988390511955	0.0	0.022765883050299966	0.00369880182918087	0.001252972153165471	0.04611128191047303	0.12337175507342034	0.6477908260516785	0.14376339267897098	0.004157098862298836
9	0.001721240294325293	0.002516176205331478	0.007771979190365331	0.0019241311664424778	0.0013804142016977787	0.008885855104767613	0.018824113309139974	0.3659300699736537	0.5888653084321154	0.002180712122161113
10	0.004809945757517345	0.10692427668051435	0.3557715898203257	0.028445110688994333	0.01785329225091453	0.01263622719437247	0.003052331476778818	0.0038792586713296017	5.933120070215042E-4	0.4660346554522315
